Daytime_dd_mm_yyyy_hh_ss,Daynum_d,VehId,Trip,Timestamp,Latitude,Longitude,HV Battery Soc,Distance,Stop_d,Stop_hh_mm_ss
01-Nov-2017 14:04:46,1.5867,8,706,0,42.277558333,-83.698749722,NaN,0,0,00:00:00
01-Nov-2017 14:07:00,1.5882,8,706,134300,42.295096111,-83.704517222,NaN,2.0610250024,0.343580694451853,08:17:00
01-Nov-2017 22:21:46,1.9318,8,707,0,42.277681389,-83.699016111,NaN,0,0,00:00:00
01-Nov-2017 22:25:45,1.9346,8,707,239500,42.257460556,-83.699216111,NaN,2.8950664886,0,00:00:00
01-Nov-2017 17:16:28,1.7198,10,1558,0,42.277065833,-83.763403611,96.341468811,0,0,00:00:00
01-Nov-2017 17:18:14,1.721,10,1558,106200,42.278445278,-83.754332222,95.853660584,0.8191385287,0,00:00:00
01-Nov-2017 01:24:56,1.059,11,1485,0,42.300564722,-83.735444167,0,0,0,00:00:00
01-Nov-2017 01:28:48,1.0617,11,1485,231500,42.317941944,-83.717293611,0,3.2115705875,0,00:00:00
01-Nov-2017 16:50:31,1.7018,124,755,0,42.256793611,-83.696155,NaN,0,0,00:00:00
01-Nov-2017 16:58:37,1.7074,124,755,486400,42.304699167,-83.693676667,NaN,6.3531763459,0,00:00:00
01-Nov-2017 20:45:59,1.8653,125,1275,0,42.244915833,-83.700161944,NaN,0,0,00:00:00
01-Nov-2017 20:52:53,1.8701,125,1275,413100,42.260478333,-83.729722222,NaN,3.4475897439,0,00:00:00
01-Nov-2017 01:30:22,1.0628,130,954,0,42.297746389,-83.720464444,NaN,0,0,00:00:00
01-Nov-2017 01:37:32,1.0677,130,954,430500,42.257593333,-83.695554167,NaN,6.8440528806,0,00:00:00
01-Nov-2017 14:04:12,1.5863,133,1372,0,42.268105833,-83.770918611,NaN,0,0,00:00:00
01-Nov-2017 14:11:28,1.5913,133,1372,435600,42.285286667,-83.801048056,NaN,3.536107678,0.285893277733337,06:58:57
01-Nov-2017 21:03:09,1.8772,133,1380,0,42.264045278,-83.758240278,NaN,0,0,00:00:00
01-Nov-2017 21:07:57,1.8805,133,1380,287500,42.246730278,-83.749420833,NaN,2.6378073612,0,00:00:00
01-Nov-2017 23:42:37,1.9879,147,709,0,42.305128611,-83.6927175,NaN,0,0,00:00:00
01-Nov-2017 23:49:23,1.9926,147,709,405800,42.287057778,-83.743363889,NaN,5.0136516233,0,00:00:00
01-Nov-2017 02:42:52,1.1131,154,919,0,42.286272778,-83.732653333,NaN,0,0,00:00:00
01-Nov-2017 02:44:41,1.1144,154,919,108900,42.28996,-83.718598333,NaN,1.440135152,0,00:00:00
01-Nov-2017 13:17:18,1.5537,155,1495,0,42.259116111,-83.675873056,NaN,0,0,00:00:00
01-Nov-2017 13:21:15,1.5564,155,1495,237100,42.255313333,-83.686768611,NaN,1.3967167684,0.140869546337039,03:26:48
01-Nov-2017 16:44:06,1.6973,155,1498,0,42.267575278,-83.721352778,NaN,0,0,00:00:00
01-Nov-2017 16:51:55,1.7027,155,1498,468600,42.287151389,-83.732712778,NaN,2.8679566617,0.00976125928889204,00:21:52
01-Nov-2017 17:05:58,1.7125,155,1499,0,42.287745278,-83.73313,NaN,0,0,00:00:00
01-Nov-2017 17:10:10,1.7154,155,1499,252000,42.280912222,-83.743291667,NaN,1.541576439,0.0353704999333351,00:55:08
01-Nov-2017 18:01:06,1.7508,155,1501,0,42.282206944,-83.765516389,NaN,0,0,00:00:00
01-Nov-2017 18:04:14,1.7529,155,1501,188200,42.2813325,-83.746756944,NaN,1.5539649249,0,00:00:00
01-Nov-2017 00:25:23,1.0176,156,912,0,42.309303056,-83.677651944,NaN,0,0,00:00:00
01-Nov-2017 00:35:20,1.0245,156,912,597300,42.2868,-83.780572222,NaN,13.535712684,0.0770816295555599,02:00:57
01-Nov-2017 02:26:20,1.1016,156,913,0,42.293580556,-83.780985833,NaN,0,0,00:00:00
01-Nov-2017 02:36:11,1.1085,156,913,590800,42.316396944,-83.679894444,NaN,13.541311391,0.854385787037041,20:40:10
01-Nov-2017 23:06:30,1.9629,156,916,0,42.297268611,-83.681865833,NaN,0,0,00:00:00
01-Nov-2017 23:22:50,1.9742,156,916,979700,42.280570833,-83.74699,NaN,9.190441502,0,00:00:00
01-Nov-2017 12:43:45,1.5304,160,603,0,42.289871944,-83.738696667,NaN,0,0,00:00:00
01-Nov-2017 12:45:33,1.5316,160,603,108600,42.286736667,-83.732771667,NaN,0.68097996398,0,00:00:00
01-Nov-2017 17:38:27,1.735,165,493,0,42.277418333,-83.731080278,NaN,0,0,00:00:00
01-Nov-2017 17:44:24,1.7392,165,493,356200,42.258014444,-83.701981944,NaN,3.5422497486,0,00:00:00
01-Nov-2017 01:34:18,1.0655,174,1138,0,42.237331111,-83.763291111,NaN,0,0,00:00:00
01-Nov-2017 01:40:05,1.0695,174,1138,347600,42.232899167,-83.719418889,NaN,4.6365829588,0,00:00:00
01-Nov-2017 21:36:10,1.9001,176,765,0,42.286490278,-83.732451944,NaN,0,0,00:00:00
01-Nov-2017 21:41:59,1.9042,176,765,349200,42.280379167,-83.744879167,NaN,1.8249030612,0.0299294537333357,00:48:55
01-Nov-2017 22:25:05,1.9341,176,766,0,42.274182778,-83.742836389,NaN,0,0,00:00:00
01-Nov-2017 22:36:41,1.9421,176,766,695900,42.229573611,-83.739196944,NaN,5.2406130039,0,00:00:00
