start,V_cc_h1kWh_t,temp_t,prcp_t,wspd_t,holiday_index_t
01-Nov-2017 00:30:00,0,1.7,0,7.6,1.27696005408659e-19
01-Nov-2017 01:00:00,0,1.7,0,7.6,1.27788576474868e-19
01-Nov-2017 01:30:00,0,2.2,0,14.8,1.27881223043714e-19
01-Nov-2017 02:00:00,0,2.2,0,14.8,1.27973945184662e-19
01-Nov-2017 02:30:00,0.392762,1.7,0,5.4,1.28066742965694e-19
01-Nov-2017 03:00:00,0.905059,1.7,0,5.4,1.28159616454859e-19
01-Nov-2017 03:30:00,1.41736,0,0,5.4,1.28252565721831e-19
01-Nov-2017 04:00:00,1.92965,0,0,5.4,1.28345590834793e-19
01-Nov-2017 04:30:00,2.44195,0.6,0,0,1.28438691862e-19
01-Nov-2017 05:00:00,2.95425,0.6,0,0,1.28531868873332e-19
01-Nov-2017 05:30:00,3.46655,1.1,0,0,1.2862512193718e-19
01-Nov-2017 06:00:00,3.97885,1.1,0,0,1.28718451122001e-19
01-Nov-2017 06:30:00,4.49114,0.6,0,0,1.28811856497884e-19
01-Nov-2017 07:00:00,5.00344,0.6,0,0,1.28905338133426e-19
01-Nov-2017 07:30:00,5.51574,0,0,0,1.28998896097289e-19
01-Nov-2017 08:00:00,6.02804,0,0,0,1.29092530459773e-19
01-Nov-2017 08:30:00,6.54033,1.1,0,5.4,1.29186241289679e-19
01-Nov-2017 09:00:00,7.05263,1.1,0,5.4,1.29280028655875e-19
01-Nov-2017 09:30:00,7.56493,1.1,0,11.2,1.29373892628872e-19
01-Nov-2017 10:00:00,8.07723,1.1,0,11.2,1.29467833277677e-19
01-Nov-2017 10:30:00,8.58953,1.1,0,9.4,1.29561850671366e-19
01-Nov-2017 11:00:00,9.10182,1.1,0,9.4,1.2965594488066e-19
01-Nov-2017 11:30:00,9.61412,1.1,0,0,1.29750115974773e-19
01-Nov-2017 12:00:00,10.1264,1.1,0,0,1.29844364022988e-19
01-Nov-2017 12:30:00,10.6387,1.1,0,7.6,1.29938689096238e-19
01-Nov-2017 13:00:00,11.151,1.1,0,7.6,1.30033091263946e-19
01-Nov-2017 13:30:00,11.6633,1.7,0,5.4,1.30127570595603e-19
01-Nov-2017 14:00:00,12.1756,1.7,0,5.4,1.30222127162352e-19
01-Nov-2017 14:30:00,12.6879,2.8,0,7.6,1.30316761033826e-19
01-Nov-2017 15:00:00,13.2002,2.8,0,7.6,1.30411472279725e-19
01-Nov-2017 15:30:00,16.8255,3.3,0,13,1.30506260971406e-19
01-Nov-2017 16:00:00,20.7967,3.3,0,13,1.30601127178709e-19
01-Nov-2017 16:30:00,29.0806,3.9,0,18.4,1.30696070971545e-19
01-Nov-2017 17:00:00,24.8766,3.9,0,18.4,1.30791092421484e-19
01-Nov-2017 17:30:00,15.7617,3.9,0,18.4,1.30886191598576e-19
01-Nov-2017 18:00:00,16.274,3.9,0,18.4,1.30981368572942e-19
01-Nov-2017 18:30:00,16.7863,4.4,0,7.6,1.31076623416366e-19
01-Nov-2017 19:00:00,22.9478,4.4,0,7.6,1.31171956199111e-19
